Genome	12C16O_0h_100_P08_unf_init RPKM	12C16O_0h_100_P14_unf_init RPKM	12C16O_0h_100_P16_unf_init RPKM	12C16O_0h_50_P09_unf_init RPKM	12C16O_0h_50_P10_unf_init RPKM	12C16O_0h_50_P13_unf_init RPKM	12C16O_168h_100_P08_unf_init RPKM	12C16O_168h_100_P14_unf_init RPKM	12C16O_168h_100_P16_unf_init RPKM	12C16O_168h_50_P09_unf_init RPKM	12C16O_168h_50_P10_unf_init RPKM	12C16O_168h_50_P13_unf_init RPKM	12C16O_24h_100_P08_unf_init RPKM	12C16O_24h_100_P14_unf_init RPKM	12C16O_24h_100_P16_unf_init RPKM	12C16O_48h_100_P08_unf_init RPKM	12C16O_48h_100_P14_unf_init RPKM	12C16O_48h_100_P16_unf_init RPKM	12C16O_48h_50_P09_unf_init RPKM	12C16O_48h_50_P10_unf_init RPKM	12C16O_48h_50_P13_unf_init RPKM	12C16O_72h_100_P08_unf_init RPKM	12C16O_72h_100_P14_unf_init RPKM	12C16O_72h_100_P16_unf_init RPKM
H3-18-all-fractions_metab_conc_6.Bacteria_64_56	0.7673401	0	0	0.6602533	0	0	1.7267731	0	0.76397365	1.4060985	0.8282601	0	1.5435138	0	0	1.4152739	0	0	1.0940287	0	0.6584556	1.3160254	0	0
H2-16-all-fractions_metab_126.Actinobacteria_69_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_24h_100_P08_coass_bin.11	1.5720222	2.1329434	1.5686508	1.8218768	1.9875367	2.13578	0	1.3327388	0	1.0228108	1.2464998	1.3089094	0	1.2455815	1.5111701	0	1.439202	0	1.1769693	1.460416	1.5437919	1.1573685	1.4018202	1.1546698
12C18O_168h_100_P14_coass_bin.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P16_coass_bin.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_metab_48.Actinobacteria_68_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_conc_113.RIFCSPLOWO2_12_FULL_Bacteroidetes_35_15_curated_45_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P14_coass_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_71.Actinobacteria_71_26	2.790486	4.061471	2.5778	3.3293808	0	2.5254598	2.0604243	2.5291755	1.601717	2.0100687	0	1.5041443	2.4206095	2.1961176	2.8769124	2.2001693	2.7327774	1.8045921	2.2759736	0	1.688698	2.1945426	2.6128192	1.9705626
12C16O_48h_50_P13_coass_bin.30	1.8643342	2.1369152	1.5520707	2.0976593	0	0	0	0	0	1.3101056	0	0	0	0	0	0	0	0	1.6026977	0	0	0	0	0
12C16O_0h_100_P14_coass_bin.15	0.9331525	0.93946475	0.7818704	0.7092064	1.327755	1.3122218	1.2088879	1.0786843	1.0327305	1.0514218	1.4414247	1.5263691	1.0752431	0.82208735	0.9748905	1.0690145	0.92745537	0.8674841	0.84857774	1.5047309	1.4602082	1.1215391	0.975398	0.8330888
12C16O_72h_100_unf_bin.16	0	0	0	0	0	0	0	0	0	0	0.67223114	0.9164369	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_48h_100_P08_coass_bin.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_62.Sphingomonadales_68_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P08_coass_bin.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P14_coass_bin.32	2.8087044	2.2729406	1.989244	2.8462765	1.3795573	1.6799523	2.0486832	1.5137008	1.327897	1.7439435	0.9570805	1.1231629	2.501569	1.7549598	1.7333779	2.3361423	1.6780715	1.517164	2.1397984	1.1145378	1.2418628	2.2443583	1.5569141	1.5540103
H2-18-all-fractions_metab_conc_98.Propionibacteriales_71_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P13_coass_bin.10	2.099868	1.9549121	1.9216156	1.9055178	2.1881955	1.8028748	1.6231569	1.2417998	1.5205939	1.3311296	1.456826	1.2204652	2.305409	1.959929	1.5902202	2.100371	1.5550578	1.7766756	1.7280278	1.8673018	1.303517	1.9671104	1.4961354	1.7032135
12C16O_168h_50_P13_coass_bin.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P10_coass_bin.14	0.93139976	0	0.9825075	1.4650391	1.5602573	0.8645722	1.3694539	1.2913381	1.2970839	1.7232875	1.8479186	0.9186789	1.4875786	1.34902	1.7356359	1.4671929	1.3538549	1.5485533	1.8358673	2.1224065	0.92904043	1.2432423	1.3553429	1.3128524
12C16O_48h_50_P13_coass_bin.27	0	0	0	0	0	0	0	0	0	0	0.7290315	0.9937325	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P08_coass_bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P16_coass_bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_unf_bin.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_75.Sphingomonadales_65_38	0	0	0	0	0	0	2.074187	1.5977445	2.4323552	2.3881404	1.1032388	1.836944	0	0	0	1.1290226	1.0551956	1.2982266	1.2557234	0	1.4015402	1.4395212	1.1042084	1.3820829
12C16O_48h_50_unf_bin.44	0	0	0	0	0	0	1.1211113	0.9812917	1.3948281	1.5277497	1.0832573	1.3462234	0	0	0	0	0	0.6540831	0.9704115	1.3504896	1.1876987	0.8153233	0.7596529	0.8152614
H1-16-all-fractions_metab_conc_6.Bacteria_69_19	0.7568064	1.4760588	0.8457497	1.0856174	0	0	0	1.2768329	0	0.9218947	0	0	0	0	1.2225412	0	1.2185011	0	0.7960327	0	0	0	1.1732064	0
12C18O_24h_100_P08_coass_bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P14_coass_bin.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P14_coass_bin.5	0	0	0	0	0	0	0	0	0	0	0.76035756	0	0	0.7686819	0.7595764	0	0.76771194	0.70775217	0	1.043636	0	0	0	0
H3-18-all-fractions_metab_conc_87.Bacteria_55_12	0	0	0	0.75850284	0	0	0	0	0	0.6162942	0	0	0	0	0	0	0	0	0.6097392	0	0	0	0	0
12C16O_0h_100_P16_coass_bin.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_20.Bacteria_57_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_unf_bin.47	0	0	0	0	0	0	0	0	0	0	0.8319237	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_unf_bin.17	0.64738417	0	0.73856425	0	1.4931335	1.6230464	0	0.95146555	0.65086484	0	0.9109499	1.0405757	0	0.68162626	0.9792648	0.67505753	1.0120015	0.74460816	0	0.90812844	0.9769762	0	0.9539068	0.63220215
12C16O_48h_50_P13_coass_bin.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P13_coass_bin.12	2.6003253	4.024424	4.061101	2.3361688	3.7911825	4.205806	2.455688	3.0733953	3.0844107	1.7943325	3.3198116	3.3849213	2.6368687	3.4326181	3.4794304	2.7295947	3.5751748	3.5316925	2.0511923	3.851323	3.7322068	2.4419875	2.8612907	3.3713717
12C18O_168h_50_P13_coass_bin.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_24h_100_P16_coass_bin.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_17.Bacteria_55_30	0.94871134	0	0.8740626	1.3838917	0	0	0.9854875	0	0.8282554	1.1409494	0	0	1.1547183	0.9414593	0.7614799	0.97579336	0	0.8723514	1.1400584	0	0	0.93983597	0.5981531	0.8648329
12C16O_168h_50_P10_coass_bin.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P14_coass_bin.7	1.0898415	0	1.0340427	1.0193694	1.2011789	0.9952908	0	0	0	0.7153295	0.8085671	0	1.2097361	1.0461925	0	1.1024122	0.8681232	0.95734394	0.91838247	1.0349451	0	1.039068	0.82933825	0.92576057
12C16O_48h_100_P08_coass_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P13_coass_bin.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_121.Acidobacteria_65_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_unf_bin.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_P14_coass_bin.6	0.85357434	1.036337	1.0585986	0.93861246	0.8083082	1.0470628	5.399749	4.1975646	6.656194	6.2189646	2.7467208	4.179621	1.906183	2.3336546	2.2515988	3.061847	3.003901	3.756274	3.4450045	3.1059318	3.2039363	3.9312658	3.0260584	3.9720247
H1-18-all-fractions_metab_8.Bdellovibrionales_52_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_conc_93.Chloroflexi_54_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_unf_bin.52	0	0	0.52317166	0	0.7585725	0.98355776	0.88834584	0.8549113	0.8764699	0.790922	1.3199326	1.754816	0.7207785	0.6785016	0.66959494	0.7784058	0	0.7794977	0	0.9208363	1.0265433	0.76382303	0.67513776	0.6653872
12C18O_168h_100_P08_coass_bin.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_25.Burkholderiales_70_14	1.5334765	1.854523	1.8634187	1.4478196	1.9530452	2.7174792	3.3939586	2.623883	3.9426396	3.1024973	3.032745	4.0371513	2.2712636	2.6786609	1.9845313	2.8036902	2.0298245	3.099143	2.5075028	3.2941942	3.759453	3.068359	2.2375383	2.9451852
12C16O_48h_100_unf_bin.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_conc_46.Alphaproteobacteria_61_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_137.Bacteria_60_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_36.Alphaproteobacteria_64_14	0.91941994	0	0.88596386	0.9984595	0	0	0.88358873	0	0	0.7725578	0	0	1.0318455	0.85876626	0.93009996	0.9902914	0.87011683	0.85454744	0.92586815	0	0	0.91516393	0.7915262	0.7954852
12C16O_48h_100_unf_bin.19	1.1466022	0	0	0	0	0	0	0	1.9008807	0.55010587	0.8986882	0.88088995	0.85359955	1.276306	0	1.3022182	0	3.6596534	0	0	0.87125754	0	0	0.7638517
12C18O_48h_100_P16_coass_bin.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_37.Gemmatimonadetes_69_16	1.1936377	1.6296735	1.2921088	0.8799144	1.6078045	1.7900805	4.03585	4.0789256	4.5800023	3.6104877	4.471678	4.5878644	3.1016588	3.0991173	3.244158	3.2609487	3.3440928	3.4286065	2.7646456	4.245976	3.6006773	3.5690973	3.6807938	3.4971387
12C18O_72h_100_P08_coass_bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_unf_bin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8295027	0
12C16O_24h_100_P16_coass_bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4568186	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_P10_coass_bin.36	1.6827235	1.3101798	2.0226958	1.599527	3.6932135	3.9782848	2.0384223	2.7562902	2.4453511	2.0220866	3.5381894	3.9033809	2.1048806	2.1756005	3.0183687	2.0525968	2.6531625	2.3873522	1.8515611	3.7532864	3.9812655	1.9716114	2.8138132	2.1598942
12C16O_48h_50_P13_coass_bin.32	1.3498738	1.8795626	1.831041	1.2469099	2.3055806	1.1803416	1.001593	1.0888981	1.2429156	0.8201973	1.4267651	0.79373026	1.1472105	1.5324044	1.3586028	1.0931947	1.183683	1.3454243	0.90648395	1.6657697	0.8120114	1.0380781	1.200601	1.4241178
12C16O_168h_100_P16_coass_bin.18	0	0	0	0	0.83614254	0	0	0	0	0	0.8680903	0	0	0	0	0	0	0	0	0	0.8712392	0	0	0
12C16O_168h_50_unf_bin.22	1.5352073	0	1.3420149	0.96342254	1.5712667	1.8895779	2.0975618	1.692722	1.7595252	1.3878787	2.0887809	2.2268844	1.6896112	1.3544502	1.6646682	1.596733	1.4197872	1.3438666	0.9354677	1.5889876	1.6644359	1.7299187	1.5467684	1.3472278
12C16O_168h_50_P13_coass_bin.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P14_coass_bin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_conc_123.Niastella_koreensis_45_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_48h_100_P08_coass_bin.1	5.289902	3.0880864	5.883964	6.1472826	5.7237453	6.6658263	5.57677	5.7099257	6.0968137	5.8454456	5.337185	6.075785	7.3497534	7.5756373	7.2304506	7.2007966	6.545969	7.1835465	7.052201	6.804194	6.5815597	6.525316	6.732626	7.088804
H3-16-all-fractions_metab_conc_29.Actinobacteria_71_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_67.RIF_CHLX_70_0	1.400148	1.2971938	1.2342374	1.6905699	0	1.019819	1.3665215	0.91454726	1.1336112	1.6202149	0	0.8804134	1.3549414	1.1563238	0.9397254	1.2535914	0.8979583	1.0158099	1.447019	0	0.7071093	1.2184197	0.90457714	1.0837517
12C16O_24h_100_P16_coass_bin.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-18-all-fractions_metab_conc_55.Sphingomonadales_70_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_100_P14_coass_bin.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_P10_coass_bin.9	2.3526196	2.5594165	1.9445912	2.7331762	1.8036032	1.7751518	1.32214	1.2905362	0	1.6138698	0	0	1.7211976	1.3640634	1.5267111	1.6607563	1.5928931	1.2569915	1.9849682	0	1.2354649	1.603461	1.369874	1.4098558
12C16O_48h_100_P14_coass_bin.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_24h_100_P08_coass_bin.12	4.9873137	4.6351376	3.6013122	4.620651	4.301756	3.755298	4.2129507	3.1052341	2.9239082	3.5272431	2.9287739	2.641319	4.9135194	3.2588584	3.7723594	4.445237	3.3069315	2.8337562	3.7830315	3.1739872	2.5453985	4.252729	3.4494166	3.0701888
H1-18-all-fractions_metab_85.Ktedonobacter_racemifer_51_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_unf_bin.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P13_coass_bin.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_metab_conc_20.Bacteria_65_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_P10_coass_bin.19	0	0	0	0	0	0	1.3458862	1.5278734	2.6356776	0.758302	2.6295023	3.2991467	0	0.7275512	0.7207338	0.7446105	0.82907414	1.1883426	0	2.4067397	2.5575633	0.8522241	0.9866989	1.3153579
12C16O_168h_100_P08_coass_bin.1	0	0	0	0	0	0	0	0	0	0	0.8732511	0	0	0	0	0	0	0	0	0	0.8826294	0	0	0
H1-18-all-fractions_metab_69.Sphingomonadales_65_37	0	0	0	0	0	0	3.1416183	2.6264377	3.8476992	3.8631058	1.593242	3.0487432	0	1.2465256	1.2532954	1.6436756	1.639854	2.0069973	1.9487418	1.6026139	2.194809	2.13944	1.7955693	2.1583557
12C18O_24h_100_P14_coass_bin.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_conc_40.Bacteroidetes_44_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_conc_90.Bacteria_60_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_P10_coass_bin.36	0	0	0	0	0	0	2.4213161	2.4880762	3.5166953	2.5169146	2.1118855	2.447897	0	0	0	0	1.5459945	1.554577	1.2363154	2.0003443	1.6665592	1.5503668	1.6879308	1.7928616
12C18O_168h_50_P13_coass_bin.24	1.9256436	2.9524646	2.940638	1.7122846	2.6948445	3.0088022	1.7701579	2.1972284	2.1999857	1.2637936	2.4061813	2.3815823	1.9350286	2.5013306	2.5178165	1.9640331	2.5965421	2.5457368	1.4934272	2.7448294	2.6772776	1.7966871	2.0629883	2.435511
12C16O_48h_50_P10_coass_bin.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-18-all-fractions_metab_conc_37.Alphaproteobacteria_64_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_unf_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_P13_coass_bin.24	0	1.9480971	0	0	2.5292277	10.394245	0	1.2558554	0	0	1.3246871	6.0035143	0	0	1.5415354	0	1.4321781	0	0	1.7557683	6.682914	0	1.3858675	0
12C16O_168h_50_unf_bin.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_100_P16_coass_bin.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_conc_11.Cystobacter_violaceus_70_0	0	0	0	0	0	0	1.4663631	1.5322229	1.879645	1.0434186	0.9878724	1.2112402	0	0	0	0	0	0.8895283	0	0	0	0	0	0.674236
12C16O_0h_50_P09_coass_bin.6	0	0	0.48563305	0.74559665	0	0	0.67823946	0	0.6469151	0.8663031	0	0	0.7539711	0.6261491	0.6255004	0.73387074	0	0.7292723	0.9040043	0	0	0.585693	0	0.5920809
H3-16-all-fractions_metab_148.Actinobacteria_72_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_P14_coass_bin.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P13_coass_bin.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_conc_122.Actinobacteria_70_12	2.660329	3.559977	3.0156581	2.881425	2.9267175	2.6670089	1.4622047	1.5899409	0	1.4902986	1.5449558	1.5182076	1.9133421	1.9808525	1.919535	1.7197443	2.0640578	1.7859305	1.8250071	1.92731	1.7404232	1.7224499	1.7286278	1.991687
12C16O_48h_50_P10_coass_bin.43	1.2121392	1.0667517	1.2675987	1.2472132	2.2809763	1.6038871	1.0007375	1.2650023	0.9980501	0.98525965	1.5256922	1.0424968	1.2601829	1.2512757	1.588742	1.2777383	1.5425597	1.191856	1.2430943	2.0313294	1.2863841	1.1693804	1.5575039	1.2359176
12C18O_168h_50_P10_coass_bin.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_unf_bin.57	2.2287772	2.6051629	2.0153499	2.4601932	2.2535694	1.9505743	1.724803	1.702489	1.3985586	1.6476299	1.6846758	1.3803434	2.018762	1.6989752	1.9514562	1.957542	1.9489821	1.6211913	1.8798683	1.84444	1.4395093	1.881419	1.79944	1.6152267
12C16O_24h_100_P16_coass_bin.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_unf_bin.11	2.3948386	6.926323	3.6916103	2.0582495	6.7973647	13.030711	2.2498112	4.483493	2.9087071	1.8543969	4.4682913	8.203632	2.5791316	3.4699361	5.4786067	2.3902962	5.396538	3.1949983	2.1103969	5.8892393	10.532996	2.617982	5.585646	3.8024628
12C16O_168h_50_P13_coass_bin.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
